Year,Iron ore_BB,Scrap_BB,DRI_BB,Iron ore_H2,Scrap_H2,DRI_H2,Iron ore_EAF,Scrap_EAF,DRI_EAF
2025,1036800.0,243200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2031,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,12800.0,384000.0,883200.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,-1.16415321826935e-10,0.0,0.0,12799.9999999999,1267200.0,0.0
