Year,Coke_BB,Thermal coal_BB,BF gas_BB,COG_BB,BOF gas_BB,Natural gas_BB,Hydrogen_H2,Electricity_H2,Steam_H2,Natural gas_EAF,Electricity_EAF,Steam_EAF
2025,15384602.2,4389136.51,16923062.42,5158366.62,2669680.97,723981.28,0.0,0.0,0.0,0.0,0.0,0.0
2026,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,10904968.03,4524883.0,18099532.0,4524883.0,2669680.97,4524883.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,44343853.4,0.0,904976.6,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,44343853.4,0.0,904976.6,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,44343853.4,0.0,904976.6,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,44343853.4,0.0,904976.6,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,44343853.4,0.0,904976.6,0.0,0.0,0.0
